PID,bp_0.5_4_I,bp_0.5_4_II,bp_0.5_4_III,bp_4_8_I,bp_4_8_II,bp_4_8_III,bp_8_12_I,bp_8_12_II,bp_8_12_III,bp_12_20_I,bp_12_20_II,bp_12_20_III,bp_20_30_I,bp_20_30_II,bp_20_30_III,bp_30_40_I,bp_30_40_II,bp_30_40_III
1019264,3.344847679138184,3.3698177337646484,3.339336395263672,1.5296462774276731,1.5551385879516602,1.551618218421936,1.5021289587020874,1.4903517961502075,1.490457534790039,2.0129337310791016,1.9753334522247317,2.0027222633361816,1.76422119140625,1.740352988243103,1.7419819831848145,1.191010355949402,1.1928470134735107,1.2022029161453247
1019533,3.5329067707061768,3.5280563831329346,3.54042911529541,0.6717109680175781,0.6561571359634399,0.6530516743659973,2.5228304862976074,2.526090621948242,2.5217959880828857,2.10049057006836,2.1021816730499268,2.1025829315185547,1.741483449935913,1.7406402826309204,1.7393274307250977,1.1677484512329102,1.1659718751907349,1.172521948814392
1019875,2.9213755130767822,2.895765781402588,2.883497953414917,0.9512439966201782,0.955248236656189,0.9593084454536438,1.479238748550415,1.4822895526885986,1.47662091255188,1.732801079750061,1.7326772212982178,1.7081964015960691,1.4614548683166504,1.4585609436035156,1.4602994918823242,1.1759964227676392,1.1941150426864624,1.2038662433624268
1022717,4.037363052368164,3.9918487071990967,3.996537208557129,2.166680097579956,2.1589126586914062,2.162060022354126,1.0963258743286133,1.114233136177063,1.1045640707015991,2.906003952026367,2.89123272895813,2.8918163776397705,1.5402318239212036,1.5338566303253174,1.540186882019043,0.8925628066062927,0.9113882184028624,0.9083459973335266
1025716,3.376983642578125,3.3498010635375977,3.3697896003723145,1.4788100719451904,1.483498215675354,1.4836831092834473,1.3312286138534546,1.3507311344146729,1.3680957555770874,3.402119398117065,3.362302303314209,3.357198715209961,1.4635003805160522,1.4630879163742063,1.4697868824005127,1.221514105796814,1.2278714179992676,1.228567123413086
1027707,2.312812089920044,2.301357746124268,2.314620018005371,1.2993749380111694,1.3009672164916992,1.302700757980347,2.1966452598571777,2.1917929649353027,2.129520893096924,2.0308566093444824,2.023549318313598,2.0253050327301025,1.7273129224777222,1.7166122198104858,1.7162301540374756,1.4669569730758667,1.4666259288787842,1.4772824048995972
1033544,4.794459342956543,4.791297912597656,4.833224773406982,3.875333309173584,3.8785367012023926,3.8821167945861816,1.7354772090911863,1.730870008468628,1.7424323558807373,1.400021195411682,1.3864822387695312,1.3903305530548096,1.4798622131347656,1.4731245040893557,1.471840500831604,0.9086293578147888,0.9152816534042358,0.910981833934784
1033769,1.7439478635787964,1.7303746938705444,1.7199369668960571,2.490370273590088,2.5045344829559326,2.503505229949951,1.3669512271881104,1.3724490404129028,1.3705801963806152,1.6588685512542725,1.6691792011260986,1.673182249069214,1.8327220678329468,1.840265154838562,1.8344825506210327,1.3477989435195925,1.341936469078064,1.3243964910507202
1034964,2.258338212966919,2.240577459335327,2.2475926876068115,1.9212749004364011,1.932631492614746,1.9008163213729856,0.8964676856994629,0.8966982960700989,0.8947246670722961,0.8092613220214844,0.8015673756599426,0.8037425875663757,0.7600732445716858,0.7536948919296265,0.7594171762466431,0.5160350203514099,0.5185402035713196,0.514860212802887
1036119,3.0277739763259888,3.026447415351868,3.035043954849243,1.9345365166664124,1.9448773860931396,1.8931554555892944,2.3536643981933594,2.332438111305237,2.332426071166992,1.4790886044502258,1.4885583519935608,1.489198923110962,1.2058611512184143,1.2038447856903076,1.2011492848396301,1.0178439021110535,0.9993314743041992,0.9977416694164276
1040453,0.714786946773529,0.7212522029876709,0.6989313364028931,4.210939407348633,4.195000171661377,4.187314510345459,4.006359577178955,4.007691383361816,4.023226261138916,1.833096265792847,1.8233400583267207,1.825217604637146,2.460829734802246,2.4641335010528564,2.4574265480041504,1.1805965900421145,1.173456788063049,1.1795417070388794
1042391,3.4732463359832764,3.4474411010742188,3.445987701416016,2.0716915130615234,2.066011905670166,2.0591483116149902,2.64990758895874,2.636754274368286,2.646828413009644,2.4236724376678467,2.413478136062622,2.415992259979248,0.9652966856956482,0.9589731693267822,0.968950629234314,1.0455621480941772,1.0383100509643557,1.0494166612625122
1043355,3.3225457668304443,3.321560859680176,3.329687118530273,2.81327486038208,2.8237884044647217,2.8205578327178955,2.119651556015014,2.1198103427886963,2.128037214279175,1.8591678142547607,1.8532737493515012,1.8520656824111936,1.4958381652832031,1.5009127855300903,1.4998022317886353,1.023145318031311,1.013863205909729,1.018261432647705
1046829,0.9347870945930481,0.9382621049880981,0.9352796673774719,0.7191519439220428,0.7175135612487793,0.7194196283817291,0.235299676656723,0.23932871967554084,0.23615086078643793,0.4608256220817566,0.4632677137851715,0.46106296777725214,0.2670939713716507,0.26823854446411133,0.2667396813631058,0.2113013863563537,0.2109313234686851,0.21410886198282236
1047831,3.3621914386749268,3.358330011367798,3.373119354248047,1.0729949474334717,1.0624537467956543,1.0733497142791748,2.3516860008239746,2.3462514877319336,2.3492913246154785,1.9722630977630613,1.9235626459121704,1.9384222030639648,1.4443539381027222,1.4521442651748655,1.44480562210083,1.271216630935669,1.2835650444030762,1.2778034210205078
1050464,6.2619969844818115,6.336389541625977,6.2436442375183105,3.318532347679138,3.313110828399658,3.3019421100616455,1.3666335344314575,1.3880189657211304,1.3651722073554993,1.9606044292449951,1.9985761642456052,1.97372967004776,1.0934953093528748,1.0968067646026611,1.103317677974701,0.7234356999397278,0.7225843071937561,0.7287196218967438
1053513,2.560792088508606,2.553164005279541,2.566470146179199,1.08214670419693,1.082325518131256,1.0858927369117737,0.7388290464878082,0.737807035446167,0.738163411617279,1.7266324162483215,1.7268996834754944,1.7323498129844666,1.208677351474762,1.2069642543792725,1.205914855003357,1.3420166373252869,1.3434868454933167,1.345542311668396
1055909,5.099750518798828,5.005147933959961,5.059080123901367,8.65874195098877,8.590408325195312,8.50786018371582,1.4437960386276243,1.4279035329818726,1.438507318496704,0.6290442943572998,0.6253644824028015,0.6319820880889893,0.167508989572525,0.1687847077846527,0.1748545467853546,0.0704579576849937,0.075724646449089,0.0763186812400817
1056309,2.968024015426636,2.9565556049346924,2.945087194442749,3.3795502185821533,3.3919053077697754,3.4057869911193848,0.7923987507820129,0.7922772169113159,0.7653765082359314,1.2200534343719482,1.2064424753189087,1.2093725204467771,1.357954740524292,1.3557195663452148,1.3515318632125854,1.0192850828170776,1.03156316280365,1.0448652505874634
